iter	Passed	Remaining
794	5728	1477
795	5734	1469
796	5741	1462
797	5749	1455
798	5755	1447
799	5762	1440
800	5769	1433
801	5776	1426
802	5783	1418
803	5789	1411
804	5796	1404
805	5803	1396
806	5810	1389
807	5817	1382
808	5824	1375
809	5831	1367
810	5838	1360
811	5845	1353
812	5851	1345
813	5858	1338
814	5865	1331
815	5871	1324
816	5878	1316
817	5885	1309
818	5892	1302
819	5899	1295
820	5906	1287
821	5913	1280
822	5920	1273
823	5926	1265
824	5933	1258
825	5940	1251
826	5947	1244
827	5953	1236
828	5960	1229
829	5967	1222
830	5974	1214
831	5980	1207
832	5987	1200
833	5994	1193
834	6000	1185
835	6007	1178
836	6014	1171
837	6021	1163
838	6027	1156
839	6034	1149
840	6041	1142
841	6048	1134
842	6055	1127
843	6061	1120
844	6069	1113
845	6076	1106
846	6088	1099
847	6096	1092
848	6103	1085
849	6110	1078
850	6116	1070
851	6123	1063
852	6130	1056
853	6136	1049
854	6144	1042
855	6151	1034
856	6157	1027
857	6164	1020
858	6171	1012
859	6177	1005
860	6184	998
861	6191	991
862	6197	983
863	6204	976
864	6211	969
865	6218	962
866	6225	954
867	6231	947
868	6238	940
869	6245	933
870	6251	925
871	6258	918
872	6265	911
873	6272	904
874	6278	896
875	6285	889
876	6292	882
877	6298	875
878	6305	867
879	6312	860
880	6318	853
881	6325	846
882	6332	839
883	6338	831
884	6345	824
885	6352	817
886	6359	810
887	6365	802
888	6372	795
889	6379	788
890	6385	781
891	6392	773
892	6399	766
893	6405	759
894	6412	752
895	6419	745
896	6425	737
897	6432	730
898	6439	723
899	6446	716
900	6452	709
901	6459	701
902	6466	694
903	6472	687
904	6479	680
905	6486	672
906	6492	665
907	6499	658
908	6506	651
909	6512	644
910	6519	636
911	6526	629
912	6532	622
913	6539	615
914	6546	608
915	6552	600
916	6559	593
917	6566	586
918	6572	579
919	6579	572
920	6586	564
921	6593	557
922	6599	550
923	6606	543
924	6613	536
925	6620	529
926	6626	521
927	6633	514
928	6640	507
929	6646	500
930	6653	493
931	6660	485
932	6666	478
933	6673	471
934	6680	464
935	6686	457
936	6693	450
937	6700	442
938	6706	435
939	6713	428
940	6720	421
941	6726	414
942	6733	407
943	6740	399
944	6746	392
945	6753	385
946	6760	378
947	6766	371
948	6773	364
949	6780	356
950	6786	349
951	6793	342
952	6799	335
953	6806	328
954	6813	321
955	6819	313
956	6826	306
957	6833	299
958	6839	292
959	6846	285
960	6853	278
961	6860	270
962	6866	263
963	6873	256
964	6879	249
965	6886	242
966	6893	235
967	6900	228
968	6906	220
969	6913	213
970	6920	206
971	6926	199
972	6933	192
973	6940	185
974	6947	178
975	6953	170
976	6960	163
977	6967	156
978	6973	149
979	6980	142
980	6986	135
981	6993	128
982	7000	121
983	7007	113
984	7013	106
985	7020	99
986	7026	92
987	7033	85
988	7040	78
989	7047	71
990	7053	64
991	7060	56
992	7067	49
993	7077	42
994	7085	35
995	7092	28
996	7099	21
997	7106	14
998	7113	7
999	7119	0
